,URL,Name,Ingredients
44,https://www.spoonfulofflavor.com/2018/09/05/one-pot-jambalaya-pasta/,One Pot Jambalaya Pasta,tomato
45,https://www.spoonfulofflavor.com/2018/09/05/one-pot-jambalaya-pasta/,One Pot Jambalaya Pasta,shrimp
46,https://www.spoonfulofflavor.com/2018/09/05/one-pot-jambalaya-pasta/,One Pot Jambalaya Pasta,cream cheese
47,https://www.spoonfulofflavor.com/2018/09/05/one-pot-jambalaya-pasta/,One Pot Jambalaya Pasta,cheddar cheese
48,https://www.spoonfulofflavor.com/2018/09/05/one-pot-jambalaya-pasta/,One Pot Jambalaya Pasta,chives
49,https://www.spoonfulofflavor.com/2018/08/31/asian-chicken-meatball-lettuce-wraps-with-mango-slaw/,Asian Chicken Meatball Lettuce Wraps with Mango Slaw,salt
50,https://www.spoonfulofflavor.com/2018/08/31/asian-chicken-meatball-lettuce-wraps-with-mango-slaw/,Asian Chicken Meatball Lettuce Wraps with Mango Slaw,panko bread crumbs 
51,https://www.spoonfulofflavor.com/2018/07/31/creamy-chicken-skillet-with-red-pepper-and-greens/,Creamy Chicken Skillet with Red Pepper and Greens,ghee or butter
52,https://www.spoonfulofflavor.com/2018/07/31/creamy-chicken-skillet-with-red-pepper-and-greens/,Creamy Chicken Skillet with Red Pepper and Greens,chicken thighs 
53,https://www.spoonfulofflavor.com/2018/07/31/creamy-chicken-skillet-with-red-pepper-and-greens/,Creamy Chicken Skillet with Red Pepper and Greens,red bell pepper
54,https://www.spoonfulofflavor.com/2018/07/31/creamy-chicken-skillet-with-red-pepper-and-greens/,Creamy Chicken Skillet with Red Pepper and Greens, organicgirl rebel greens
55,https://www.spoonfulofflavor.com/2018/07/31/creamy-chicken-skillet-with-red-pepper-and-greens/,Creamy Chicken Skillet with Red Pepper and Greens,garlic 
56,https://www.spoonfulofflavor.com/2018/07/31/creamy-chicken-skillet-with-red-pepper-and-greens/,Creamy Chicken Skillet with Red Pepper and Greens,full fat coconut milk
57,https://www.spoonfulofflavor.com/2018/07/31/creamy-chicken-skillet-with-red-pepper-and-greens/,Creamy Chicken Skillet with Red Pepper and Greens,chicken broth or bbroth
58,https://www.spoonfulofflavor.com/2018/07/31/creamy-chicken-skillet-with-red-pepper-and-greens/,Creamy Chicken Skillet with Red Pepper and Greens,salt
59,https://www.spoonfulofflavor.com/2018/07/31/creamy-chicken-skillet-with-red-pepper-and-greens/,Creamy Chicken Skillet with Red Pepper and Greens,pepper
60,https://www.spoonfulofflavor.com/2018/07/31/creamy-chicken-skillet-with-red-pepper-and-greens/,Creamy Chicken Skillet with Red Pepper and Greens,dried basil
61,https://www.spoonfulofflavor.com/2018/07/31/creamy-chicken-skillet-with-red-pepper-and-greens/,Creamy Chicken Skillet with Red Pepper and Greens,marjoram
62,https://www.spoonfulofflavor.com/2018/07/23/one-pot-creamy-jalapeno-popper-chicken-pasta/,One Pot Creamy Jalapeno Popper Chicken Pasta,chicken breast
63,https://www.spoonfulofflavor.com/2018/07/23/one-pot-creamy-jalapeno-popper-chicken-pasta/,One Pot Creamy Jalapeno Popper Chicken Pasta,chili powder
64,https://www.spoonfulofflavor.com/2018/07/23/one-pot-creamy-jalapeno-popper-chicken-pasta/,One Pot Creamy Jalapeno Popper Chicken Pasta,olive oil
65,https://www.spoonfulofflavor.com/2018/07/23/one-pot-creamy-jalapeno-popper-chicken-pasta/,One Pot Creamy Jalapeno Popper Chicken Pasta,yellow onion
66,https://www.spoonfulofflavor.com/2018/07/23/one-pot-creamy-jalapeno-popper-chicken-pasta/,One Pot Creamy Jalapeno Popper Chicken Pasta,garlic
67,https://www.spoonfulofflavor.com/2018/07/23/one-pot-creamy-jalapeno-popper-chicken-pasta/,One Pot Creamy Jalapeno Popper Chicken Pasta,penne pasta
68,https://www.spoonfulofflavor.com/2018/07/23/one-pot-creamy-jalapeno-popper-chicken-pasta/,One Pot Creamy Jalapeno Popper Chicken Pasta,chicken broth
69,https://www.spoonfulofflavor.com/2018/07/23/one-pot-creamy-jalapeno-popper-chicken-pasta/,One Pot Creamy Jalapeno Popper Chicken Pasta,water
70,https://www.spoonfulofflavor.com/2018/07/23/one-pot-creamy-jalapeno-popper-chicken-pasta/,One Pot Creamy Jalapeno Popper Chicken Pasta,jalapeÃ±o peppers
71,https://www.spoonfulofflavor.com/2018/07/23/one-pot-creamy-jalapeno-popper-chicken-pasta/,One Pot Creamy Jalapeno Popper Chicken Pasta,cream cheese
72,https://www.spoonfulofflavor.com/2018/07/23/one-pot-creamy-jalapeno-popper-chicken-pasta/,One Pot Creamy Jalapeno Popper Chicken Pasta,monterey jack or colby jack cheese
73,https://www.spoonfulofflavor.com/2018/07/23/one-pot-creamy-jalapeno-popper-chicken-pasta/,One Pot Creamy Jalapeno Popper Chicken Pasta,bacon
74,https://www.spoonfulofflavor.com/2018/07/23/one-pot-creamy-jalapeno-popper-chicken-pasta/,One Pot Creamy Jalapeno Popper Chicken Pasta,jalapeÃ±o
75,https://www.spoonfulofflavor.com/2018/07/23/one-pot-creamy-jalapeno-popper-chicken-pasta/,One Pot Creamy Jalapeno Popper Chicken Pasta,italian flat leaf parsley
76,https://www.spoonfulofflavor.com/2018/07/05/instant-pot-lemon-butter-garlic-chicken-thighs/,Instant Pot Lemon Butter Garlic Chicken Thighs,bonein skin on chicken thighs
77,https://www.spoonfulofflavor.com/2018/07/05/instant-pot-lemon-butter-garlic-chicken-thighs/,Instant Pot Lemon Butter Garlic Chicken Thighs,salt
